name,displacement,power,price,date
BMW 330d Edition Luxury Line Purity Steptronic,2993,190.0,55350,2015-07-01T00:00:00
BMW 320i Steptronic,1998,135.0,40000,2015-07-01T00:00:00
BMW 335i Edition Exclusive xDrive Automatic,2979,225.0,50760,2008-09-01T00:00:00
BMW 320d Edition Sport,1995,110.0,32580,2001-08-01T00:00:00
BMW 320d Advantage Steptronic,1995,140.0,43500,2015-07-01T00:00:00
BMW 328i Automatic,2793,142.0,31470,1990-09-01T00:00:00
BMW 318i M Sport,1499,100.0,39250,2015-07-01T00:00:00
BMW 320i Edition Sport Line Shadow,1998,135.0,42500,2015-07-01T00:00:00
BMW 323i,2315,105.0,12220,1979-08-01T00:00:00
BMW 325i Kat.,2494,125.0,20912,1982-12-01T00:00:00
BMW 320d EfficientDynamics Edition Luxury Line,1995,120.0,45950,2015-07-01T00:00:00
BMW 335i Luxury Line xDrive Steptronic,2979,225.0,51300,2012-02-01T00:00:00
BMW 323i,2494,125.0,29706,1998-04-01T00:00:00
BMW 320d Edition M Sport Shadow Steptronic,1995,140.0,49100,2015-07-01T00:00:00
BMW 320d Advantage xDrive,1995,140.0,43200,2015-07-01T00:00:00
BMW 316i M Sportpaket,1598,100.0,33950,2012-02-01T00:00:00
BMW 320i Edition M Sport Shadow xDrive Steptronic,1998,135.0,49650,2015-07-01T00:00:00
BMW 316i Exclusiv Edition,1596,75.0,24132,1990-09-01T00:00:00
BMW 320d,1995,110.0,27250,2001-08-01T00:00:00
BMW 335d DPF Automatic,2993,210.0,44350,2005-03-01T00:00:00
BMW 340i M Sport,2998,240.0,54350,2015-07-01T00:00:00
BMW 320i EfficientDynamics Edition Modern Line,1598,125.0,35500,2012-02-01T00:00:00
BMW 328i Sport Line xDrive,1997,180.0,42950,2012-02-01T00:00:00
BMW 318i Edition Exclusive,1995,105.0,29700,2001-08-01T00:00:00
BMW 325td kat Comfort Edition,2497,85.0,26536,1990-09-01T00:00:00
BMW 316d Sport Line,1995,85.0,38800,2015-07-01T00:00:00
BMW 318d Edition Sport,1995,85.0,30730,2001-08-01T00:00:00
BMW 328i Modern Line xDrive Steptronic,1997,180.0,45100,2012-02-01T00:00:00
BMW 325ix Automatic,2494,126.0,23648,1982-12-01T00:00:00
BMW 318d Edition Luxury Line Purity Steptronic,1995,110.0,45650,2015-07-01T00:00:00
BMW 320d EfficientDynamics Edition Luxury Line Steptronic,1995,120.0,39900,2012-02-01T00:00:00
BMW 335d Edition Exclusive Automatic,2993,210.0,49020,2008-09-01T00:00:00
BMW 335i xDrive,2979,225.0,47250,2012-02-01T00:00:00
BMW 323i Comfort Edition,2494,125.0,28530,1990-09-01T00:00:00
BMW 340i Edition Luxury Line Purity Steptronic,2998,240.0,56500,2015-07-01T00:00:00
